,dst,rssi,src
69,Tc84060,-53,Tc848b8
70,Tc84a64,-54,T692a20
71,T692a20,-51,Tc84a64
72,Tc84bec,-51,Tc84060
73,Tc84060,-53,Tc84bec
74,Tc84a18,-50,T692eac
75,T692eac,-50,Tc84a18
76,T6929c0,-54,T692f20
77,T692f20,-55,T6929c0
78,Tc84b40,-51,T0b479c
79,T0b479c,-52,Tc84b40
80,Tc83f74,-55,T692f20
81,T692f20,-57,Tc83f74
82,Tc84b9c,-48,T692f20
83,T692f20,-52,Tc84b9c
84,Tc84a64,-51,T692f20
85,T692f20,-52,Tc84a64
86,Tc84a18,-54,Tc848ec
87,Tc848ec,-55,Tc84a18
88,Tc849e0,-52,T0b479c
89,T0b479c,-50,Tc849e0
90,Tc84a18,-51,Tc84a58
91,Tc84a58,-57,Tc84a18
92,Tc849fc,-53,Tc84ab8
93,Tc84ab8,-55,Tc849fc
94,Tc84b40,-51,T0b47c0
95,T0b47c0,-50,Tc84b40
96,Tc849e0,-55,Tc84b40
97,Tc84b40,-55,Tc849e0
98,T6929c0,-50,Tc84a18
99,Tc84a18,-54,T6929c0
100,Tc84ab8,-53,Tc83b7c
101,Tc83b7c,-53,Tc84ab8
102,Tc84b40,-51,Tc84060
103,Tc84060,-48,Tc84b40
104,T6929c0,-51,Tc849fc
105,Tc849fc,-54,T6929c0
106,Tc84028,-51,Tc83b7c
107,Tc83b7c,-50,Tc84028
108,Tc84b28,-48,T692880
109,T692880,-48,Tc84b28
110,Tc84b9c,-50,T692eac
111,T692eac,-52,Tc84b9c
112,T692a0c,-50,Tc84b40
113,Tc84b40,-55,T692a0c
114,T692880,-52,T0b4764
115,T0b4764,-56,T692880
116,T6929c0,-50,Tc84a58
117,Tc84a58,-52,T6929c0
118,T6929c0,-54,Tc848ec
119,Tc848ec,-56,T6929c0
120,Tc84ab8,-55,Tc849e0
121,Tc849e0,-56,Tc84ab8
122,Tc84a64,-52,T692eac
123,T692eac,-51,Tc84a64
124,Tc849e0,-54,T0b47c0
125,T0b47c0,-50,Tc849e0
126,Tc849e0,-51,Tc84060
127,Tc84060,-52,Tc849e0
128,Tc84a64,-53,Tc849fc
129,Tc849fc,-49,Tc84a64
130,Tc83f74,-52,Tc84a58
131,Tc84a58,-55,Tc83f74
132,Tc84b9c,-48,Tc84a58
133,Tc84a58,-52,Tc84b9c
134,Tc84b9c,-48,Tc849fc
135,Tc849fc,-54,Tc84b9c
136,Tc84bec,-50,T0b479c
137,T0b479c,-49,Tc84bec
138,Tc84a18,-50,T692f20
139,T692f20,-54,Tc84a18
140,T692a04,-51,Tc84060
141,Tc84060,-53,T692a04
142,Tc848b8,-51,T0b479c
143,T0b479c,-51,Tc848b8
144,Tc848ec,-49,T0b47c0
145,T0b47c0,-53,Tc848ec
146,T6929c0,-56,T692eac
147,T692eac,-58,T6929c0
148,T692a04,-72,T0b47c0
149,T0b47c0,-92,T692a04
150,Tc84ab8,-50,T692880
151,T692880,-54,Tc84ab8
152,Tc848ec,-52,Tc84060
153,Tc84060,-54,Tc848ec
154,Tc84028,-49,T692880
155,T692880,-52,Tc84028
156,Tc84a64,-55,Tc84a58
157,Tc84a58,-54,Tc84a64
158,Tc84b28,-51,Tc83b7c
159,Tc83b7c,-51,Tc84b28
160,T6929c0,-55,Tc848b8
161,Tc848b8,0,T6929c0
162,T0b4764,-53,T692eac
163,T692eac,-54,T0b4764
164,Tc84b40,-49,T692eac
165,T692eac,-52,Tc84b40
166,Tc84060,-52,T692f38
167,T692f38,-51,Tc84060
168,Tc84ab8,-48,T0b4764
169,T0b4764,-47,Tc84ab8
170,Tc84b9c,-50,T0b47c0
171,T0b47c0,-51,Tc84b9c
172,Tc84028,-50,T0b4764
173,T0b4764,-55,Tc84028
174,Tc84b9c,-52,Tc84060
175,Tc84060,-53,Tc84b9c
176,T692a04,-49,Tc849fc
177,Tc849fc,-55,T692a04
178,Tc849e0,-56,T692f38
179,T692f38,-54,Tc849e0
180,T692a04,-52,Tc84a58
181,Tc84a58,-51,T692a04
182,Tc848ec,-51,Tc84a58
183,Tc84a58,-55,Tc848ec
184,Tc84a64,-47,Tc84060
185,Tc84060,-48,Tc84a64
186,Tc849e0,-51,T692eac
187,T692eac,-53,Tc849e0
188,Tc84a64,-50,T0b47c0
189,T0b47c0,-48,Tc84a64
